,timestamp,player_name,pass_recipient_name,game_id,period_id,time_seconds,team_id,player_id,start_x,start_y,end_x,end_y,type_id,result_id,bodypart_id,action_id,type_name,result_name,bodypart_name,country_id,country_name,extra,jersey_number,player_nickname,team_name,scores,concedes,offensive_value,defensive_value,vaep_value
0,00:00:24.360,Raphaël Guerreiro,Bruno Fernandes,7576,1,24.0,780,5209,33.52941176470588,66.27848101265823,43.23529411764706,64.55696202531645,0,1,0,20,pass,success,foot,183.0,Portugal,{},5.0,Raphaël Guerreiro,Portugal,0.0036727548576891422,0.0009154480067081749,0.0022540214704349637,0.0019667166634462774,0.004220738133881241
1,00:00:33.960,Raphaël Guerreiro,William Carvalho,7576,1,33.0,780,5209,28.235294117647058,67.13924050632912,30.0,59.392405063291136,2,1,0,23,throw_in,success,foot,183.0,Portugal,{},5.0,Raphaël Guerreiro,Portugal,0.0018138247542083263,0.0016482686623930931,0.0005953360814601183,0.0013862177729606628,0.001981553854420781
2,00:00:34.840,William Carvalho,Raphaël Guerreiro,7576,1,34.0,780,5214,30.0,60.25316455696203,27.35294117647059,65.41772151898734,0,1,0,24,pass,success,foot,183.0,Portugal,{},14.0,William Carvalho,Portugal,0.0021308925934135914,0.0014514218783006072,0.00031706783920526505,0.0001968467840924859,0.000513914623297751
3,00:00:51.280,Bernardo Silva,Cristiano Ronaldo,7576,1,51.0,780,3193,82.05882352941177,11.189873417721515,87.3529411764706,2.5822784810126507,0,1,0,34,pass,success,foot,183.0,Portugal,{},11.0,Bernardo Silva,Portugal,0.015427745878696442,0.0005461398395709693,-0.0033951960504055023,4.807638470083475e-05,
4,00:00:54.880,Cristiano Ronaldo,Cédric Soares,7576,1,54.0,780,5207,83.82352941176471,6.88607594936709,75.88235294117646,2.5822784810126507,0,1,0,36,pass,success,foot,183.0,Portugal,{},7.0,Cristiano Ronaldo,Portugal,0.008144792169332504,0.0005645399214699864,-0.0055644335225224495,4.744547186419368e-05,
5,00:00:56.360,Cédric Soares,João Moutinho,7576,1,56.0,780,3329,75.88235294117646,1.7215189873417671,70.58823529411765,6.025316455696206,0,1,0,38,pass,success,foot,183.0,Portugal,{},21.0,Cédric Soares,Portugal,0.007967605255544186,0.0005645399214699864,-0.0008918801322579384,2.9676302801817656e-05,
6,00:00:58.853,João Moutinho,Pepe,7576,1,58.0,780,3168,63.52941176470588,24.10126582278481,42.35294117647059,25.822784810126585,0,1,0,40,pass,success,foot,183.0,Portugal,{},8.0,João Moutinho,Portugal,0.003691548015922308,0.0011503980495035648,-0.00439539784565568,-0.0003324375138618052,
7,00:01:05.240,Pepe,William Carvalho,7576,1,65.0,780,20016,44.11764705882353,27.54430379746836,45.88235294117647,41.31645569620253,0,1,0,42,pass,success,foot,183.0,Portugal,{},3.0,Pepe,Portugal,0.00533510185778141,0.0010498440824449062,-4.557007923722267e-05,0.00022926600649952888,0.0001836959272623062
8,00:01:09.280,William Carvalho,Raphaël Guerreiro,7576,1,69.0,780,5214,54.70588235294118,45.620253164556964,67.05882352941175,66.27848101265823,0,1,0,44,pass,success,foot,183.0,Portugal,{},14.0,William Carvalho,Portugal,0.008428397588431835,0.0006076417048461735,-0.00014071445912122726,0.0005089983460493386,0.0003682838869281113
9,00:01:11.933,Raphaël Guerreiro,William Carvalho,7576,1,71.0,780,5209,66.17647058823529,66.27848101265823,60.88235294117648,55.949367088607595,0,1,0,46,pass,success,foot,183.0,Portugal,{},5.0,Raphaël Guerreiro,Portugal,0.005740470252931118,0.0005741491331718862,-0.0002803802490234375,-4.6835863031446934e-05,
10,00:01:14.360,William Carvalho,Raphaël Guerreiro,7576,1,74.0,780,5214,60.88235294117648,55.949367088607595,67.94117647058823,65.41772151898734,0,1,0,48,pass,success,foot,183.0,Portugal,{},14.0,William Carvalho,Portugal,0.008355015888810158,0.0006076417048461735,0.0015679164789617062,0.00017159106209874153,0.0017395075410604477
11,00:01:16.680,Raphaël Guerreiro,Bruno Fernandes,7576,1,76.0,780,5209,77.64705882352942,66.27848101265823,89.11764705882352,57.67088607594937,0,1,0,50,pass,success,foot,183.0,Portugal,{},5.0,Raphaël Guerreiro,Portugal,0.02437242493033409,0.0006832581129856408,0.012295911088585854,-0.0001559448428452015,0.012139966245740652
12,00:01:18.573,Bruno Fernandes,Gonçalo Guedes,7576,1,78.0,780,5204,89.11764705882352,57.67088607594937,89.11764705882352,43.89873417721519,0,1,0,51,pass,success,foot,183.0,Portugal,{},16.0,Bruno Fernandes,Portugal,0.04368789121508598,0.0006832581129856408,0.019315466284751892,-0.0,0.019315466284751892
13,00:01:31.080,Pepe,Raphaël Guerreiro,7576,1,91.0,780,20016,54.70588235294118,9.468354430379748,67.05882352941175,67.13924050632912,0,1,0,61,pass,success,foot,183.0,Portugal,{},3.0,Pepe,Portugal,0.008107745088636875,0.0005724996444769204,0.0017537279054522514,0.0004261630238033831,0.0021798909292556345
14,00:01:36.440,Raphaël Guerreiro,William Carvalho,7576,1,96.0,780,5209,68.82352941176471,66.27848101265823,60.0,53.36708860759494,0,1,0,63,pass,success,foot,183.0,Portugal,{},5.0,Raphaël Guerreiro,Portugal,0.0058762445114552975,0.0005996192921884358,-0.0018402151763439178,-7.230602204799652e-05,
15,00:01:39.240,William Carvalho,Gonçalo Guedes,7576,1,99.0,780,5214,62.64705882352941,50.78481012658228,84.70588235294117,46.48101265822785,0,1,0,65,pass,success,foot,183.0,Portugal,{},14.0,William Carvalho,Portugal,0.03913857042789459,0.0007530843722634017,0.02944429498165846,6.070901872590184e-05,0.02950500400038436
